id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
52964,26482,52965,3845,3164,4468000,1934,7,0,41,0,0
52965,26482,52964,3164,3845,95534000,1304,9,0,79,0,0
52966,26483,52967,5127,4845,71214000,2225,9,0,66,0,0
52967,26483,52966,4845,5127,28785000,1049,6,0,53,0,0
52968,26484,52969,5275,2,28864943,4034,7,0,68,0,0
52969,26484,52968,2,5275,71134057,1430,1,0,88,0,1
52970,26485,52971,5342,4100,86693262,3262,2,10,71,0,0
52971,26485,52970,4100,5342,13304738,1777,9,0,60,0,5
52972,26486,52973,1084,17,12011541,1904,1,10,91,0,0
52973,26486,52972,17,1084,87990459,2046,9,10,72,0,1
52974,26487,52975,5138,150,32370000,3792,8,0,72,0,0
52975,26487,52974,150,5138,67629000,2971,6,0,40,0,0
52976,26488,52977,4849,5285,96964000,1770,7,100,10,0,0
52977,26488,52976,5285,4849,3036000,3728,1,0,27,0,0
52978,26489,52979,4862,5245,16519000,1709,9,10,73,0,0
52979,26489,52978,5245,4862,83479000,4771,7,0,53,0,0
52980,26490,52981,4403,4889,83647000,4608,7,10,68,0,0
52981,26490,52980,4889,4403,16352000,1580,8,10,70,0,0
52982,26491,52983,5081,177,97998000,1497,1,0,16,0,0
52983,26491,52982,177,5081,2002000,3516,3,0,16,0,0
52984,26492,52985,2364,2847,86207000,3186,8,10,87,0,0
52985,26492,52984,2847,2364,13792000,2681,2,0,56,0,0
52986,26493,52987,3075,77,60311000,2292,1,0,79,0,0
52987,26493,52986,77,3075,39688000,2056,5,10,85,0,0
52988,26494,52989,4346,3075,43667000,4476,4,10,76,0,0
52989,26494,52988,3075,4346,56332000,4699,4,0,73,0,0
52990,26495,52991,410,2640,90152492,3308,3,0,30,0,2
52991,26495,52990,2640,410,9849508,2343,8,10,98,0,8
52992,26496,52993,4897,457,2591864,2155,6,1000,93,0,18
52993,26496,52992,457,4897,97406136,3681,3,10,88,0,5
52994,26497,52995,410,4897,17600166,1693,8,0,32,0,34
52995,26497,52994,4897,410,82399834,3299,9,0,61,0,43
52996,26498,52997,410,334,49140537,2039,8,0,84,0,1
52997,26498,52996,334,410,50858463,2852,5,10,90,0,1
52998,26499,52999,457,282,63058557,3722,2,0,83,0,3
52999,26499,52998,282,457,36940443,3306,6,0,35,0,4
53000,26500,53001,410,177,62141587,3086,4,10,50,0,1
53001,26500,53000,177,410,37858413,4232,1,10,29,0,2
53002,26501,53003,4100,457,139955,1134,8,0,53,0,16
53003,26501,53002,457,4100,99859045,2993,2,1000,45,0,7
53004,26502,53005,4254,457,91658387,4791,9,0,36,0,1
53005,26502,53004,457,4254,8340613,1021,3,0,26,0,8
53006,26503,53007,410,4889,64728000,3782,7,0,57,0,0
53007,26503,53006,4889,410,35272000,1032,5,0,13,0,0
53008,26504,53009,410,4100,4205396,1020,8,0,30,0,2
53009,26504,53008,4100,410,95793604,4663,9,0,70,0,2
53010,26505,53011,2640,457,36899826,3833,2,0,88,0,3
53011,26505,53010,457,2640,63099174,3814,1,1000,65,0,3
53012,26506,53013,410,2687,94763620,1832,1,10,76,0,1
53013,26506,53012,2687,410,5237380,1696,9,0,21,0,3
53014,26507,53015,457,4889,98570000,3688,1,10,25,0,0
53015,26507,53014,4889,457,1430000,1250,5,10,17,0,0
53016,26508,53017,353,457,13977452,1480,8,0,24,0,4
53017,26508,53016,457,353,86023548,2271,6,10,35,0,1
53018,26509,53019,410,4254,89197360,3520,3,0,69,0,2
53019,26509,53018,4254,410,10801640,3358,5,10,42,0,4
53020,26510,53021,457,2687,3676000,4580,3,0,83,0,0
53021,26510,53020,2687,457,96323000,3801,8,10,82,0,0
53022,26511,53023,4414,5221,510350,1497,9,0,96,0,1
53023,26511,53022,5221,4414,99489650,2575,6,0,36,0,0
53024,26512,53025,5064,4254,55801576,1379,8,1000,36,0,3
53025,26512,53024,4254,5064,44197424,3992,6,1000,19,0,0
53026,26513,53027,1437,4048,32721000,1537,3,0,24,0,0
53027,26513,53026,4048,1437,67279000,2969,8,0,97,0,0
53028,26514,53029,94,3556,79580000,3185,9,0,14,0,0
53029,26514,53028,3556,94,20417000,2733,5,0,72,0,0
53030,26515,53031,201,5343,97891549,1956,5,0,88,0,0
53031,26515,53030,5343,201,2108451,1994,4,0,11,0,1
53032,26516,53033,4837,3504,3863000,1730,7,10,96,0,0
53033,26516,53032,3504,4837,96136000,3715,2,0,40,0,0
